         10340073 function calls (10076572 primitive calls) in 130.711 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9899    0.002    0.000    0.002    0.000 //main.py:426(<lambda>)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:911(_load_unlocked)
     1765    0.002    0.000    0.002    0.000 {method 'get' of '_contextvars.ContextVar' objects}
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:989(exec_module)
        8    0.000    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1137(flush)
        8    0.002    0.000    0.002    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      162    0.001    0.000    0.002    0.000 //venv/lib/python3.12/site-packages/pymongo/topology_description.py:246(readable_servers)
     5000    0.001    0.000    0.002    0.000 //venv/lib/python3.12/site-packages/folium/utilities.py:385(get_obj_in_upper_tree)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:1062(get_code)
    10017    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
       39    0.001    0.000    0.001    0.000 //venv/lib/python3.12/site-packages/pymongo/hello.py:98(all_hosts)
    10026    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/json/encoder.py:105(__init__)
    10092    0.001    0.000    0.001    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1183(get_data)
    10020    0.001    0.000    0.001    0.000 {method 'items' of 'collections.OrderedDict' objects}
       39    0.000    0.000    0.001    0.000 //venv/lib/python3.12/site-packages/pymongo/topology_description.py:64(__init__)
       85    0.001    0.000    0.001    0.000 {built-in method now}
       76    0.001    0.000    0.001    0.000 //venv/lib/python3.12/site-packages/pymongo/hello.py:73(__init__)
     4899    0.001    0.000    0.001    0.000 //venv/lib/python3.12/site-packages/folium/features.py:718(process_data)
     6021    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:1083(_checkClosed)
     2803    0.001    0.000    0.001    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/pool.py:250(cancelled)
       40    0.001    0.000    0.001    0.000 {built-in method pymongo._cmessage._op_msg}
     5000    0.001    0.000    0.001    0.000 <template>:47(t_5)
       39    0.001    0.000    0.001    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/topology.py:901(_update_servers)
    10017    0.001    0.000    0.001    0.000 //venv/lib/python3.12/site-packages/jinja2/compiler.py:414(indent)
    10092    0.001    0.000    0.001    0.000 //venv/lib/python3.12/site-packages/jinja2/runtime.py:229(resolve_or_missing)
      312    0.001    0.000    0.001    0.000 //venv/lib/python3.12/site-packages/bson/timestamp.py:38(__init__)
     5019    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
    10017    0.001    0.000    0.001    0.000 //venv/lib/python3.12/site-packages/jinja2/compiler.py:418(outdent)
     1669    0.001    0.000    0.001    0.000 {method '__exit__' of 'memoryview' objects}
      156    0.000    0.000    0.001    0.000 //venv/lib/python3.12/site-packages/pymongo/common.py:155(clean_node)
       80    0.001    0.000    0.001    0.000 //venv/lib/python3.12/site-packages/pymongo/message.py:1520(unpack)
      612    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/threading.py:302(__exit__)
     5000    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
    10017    0.001    0.000    0.001    0.000 //venv/lib/python3.12/site-packages/jinja2/compiler.py:943(<genexpr>)
    10017    0.001    0.000    0.001    0.000 //venv/lib/python3.12/site-packages/jinja2/compiler.py:608(choose_async)
    10017    0.001    0.000    0.001    0.000 //venv/lib/python3.12/site-packages/jinja2/compiler.py:600(leave_frame)
    10017    0.001    0.000    0.001    0.000 //venv/lib/python3.12/site-packages/jinja2/nodes.py:94(get_eval_context)
    10017    0.001    0.000    0.001    0.000 //venv/lib/python3.12/site-packages/jinja2/optimizer.py:28(__init__)
      125    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
    10017    0.001    0.000    0.001    0.000 //venv/lib/python3.12/site-packages/jinja2/idtracking.py:235(__init__)
       85    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/contextlib.py:104(__init__)
      613    0.001    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/threading.py:299(__enter__)
      195    0.001    0.000    0.001    0.000 //venv/lib/python3.12/site-packages/pymongo/common.py:143(partition_node)
      248    0.001    0.000    0.001    0.000 {built-in method math.ceil}
        1    0.001    0.001    0.001    0.001 {method 'read' of '_io.BufferedReader' objects}
       39    0.001    0.000    0.001    0.000 //venv/lib/python3.12/site-packages/pymongo/server_description.py:266(__eq__)
    10014    0.001    0.000    0.001    0.000 //venv/lib/python3.12/site-packages/branca/element.py:398(get_root)
    10017    0.001    0.000    0.001    0.000 //venv/lib/python3.12/site-packages/jinja2/compiler.py:945(<genexpr>)
       76    0.000    0.000    0.001    0.000 //venv/lib/python3.12/site-packages/pymongo/hello.py:29(_get_server_type)
       39    0.000    0.000    0.001    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/monitor.py:177(_start_rtt_monitor)
        1    0.000    0.000    0.001    0.001 //venv/lib/python3.12/site-packages/xyzservices/lib.py:90(flatten)
    849/1    0.000    0.000    0.001    0.001 //venv/lib/python3.12/site-packages/xyzservices/lib.py:115(_get_providers)
        1    0.000    0.000    0.001    0.001 //venv/lib/python3.12/site-packages/branca/element.py:351(__init__)
       39    0.000    0.000    0.001    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/monitor.py:459(get)
       39    0.000    0.000    0.001    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/monitor.py:97(open)
     5000    0.001    0.000    0.001    0.000 //venv/lib/python3.12/site-packages/folium/features.py:847(__init__)
    10053    0.001    0.000    0.001    0.000 <frozen _collections_abc>:845(__init__)
        1    0.001    0.001    0.001    0.001 {built-in method _io.open_code}
       13    0.000    0.000    0.001    0.000 //venv/lib/python3.12/site-packages/pymongo/topology_description.py:535(_update_rs_from_primary)
     4902    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     5016    0.001    0.000    0.001    0.000 //venv/lib/python3.12/site-packages/jinja2/environment.py:463(getitem)
      201    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/threading.py:394(notify)
       39    0.000    0.000    0.001    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/periodic_executor.py:80(open)
       76    0.000    0.000    0.001    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/monitor.py:53(_monotonic_duration)
      159    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/pool.py:1175(stale_generation)
       39    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/topology_description.py:114(_init_incompatible_err)
     5000    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/jinja2/tests.py:92(test_none)
       37    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/monitor.py:453(add_sample)
       80    0.000    0.000    0.000    0.000 {method 'unpack' of '_struct.Struct' objects}
      161    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        7    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/mongo_client.py:1669(_conn_from_server)
      783    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/server.py:364(pool)
        7    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/mongo_client.py:1582(_checkout)
       39    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/topology.py:1077(_is_stale_server_description)
      613    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        3    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/pool.py:568(send_message)
       43    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/topology.py:632(_receive_cluster_time_no_lock)
        8    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1645(makeRecord)
       39    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/threading.py:1220(is_alive)
       39    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/_csot.py:154(get)
       26    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/topology_description.py:613(_update_rs_with_primary_from_member)
      203    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/threading.py:314(_is_owned)
      159    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/pool.py:953(stale)
      167    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
      248    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/socketserver.py:257(service_actions)
      899    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/server_description.py:116(address)
      818    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/xyzservices/lib.py:43(__getattr__)
       79    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/topology_description.py:197(server_descriptions)
       76    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/hello.py:134(max_message_size)
        2    0.000    0.000    0.000    0.000 <template>:19(macro)
        3    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/mongo_client.py:2640(_get_server)
       39    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/hello.py:174(me)
        3    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/mongo_client.py:1616(_select_server)
        1    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/apscheduler/schedulers/base.py:1052(_real_add_job)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
       80    0.000    0.000    0.000    0.000 {method 'unpack_from' of '_struct.Struct' objects}
       48    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/bson/timestamp.py:104(__gt__)
        3    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/topology.py:388(select_server)
        1    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/cursor.py:273(clone)
      225    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/cursor.py:283(_clone)
      152    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/hello.py:130(max_bson_size)
        3    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/topology.py:367(_select_server)
       37    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/pool.py:369(hello_cmd)
      372    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/pool.py:940(get_overall)
       40    0.000    0.000    0.000    0.000 {method 'total_seconds' of 'datetime.timedelta' objects}
        3    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/topology.py:254(select_servers)
       41    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/threading.py:424(notify_all)
       39    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/hello.py:117(primary)
      219    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/server_description.py:241(is_server_type_known)
       79    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        8    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:298(__init__)
      525    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/server_description.py:233(is_readable)
       39    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/topology_description.py:668(_check_has_primary)
        5    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/jinja2/environment.py:1395(make_module)
       80    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/helpers_shared.py:183(_check_command_response)
  247/203    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/threading.py:1016(_bootstrap)
        3    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/topology.py:291(_select_servers_loop)
        3    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/server.py:124(operation_to_command)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/threading.py:1056(_bootstrap_inner)
       76    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/hello.py:146(max_wire_version)
        2    0.000    0.000    0.000    0.000 <template>:67(macro)
      7/1    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/cursor.py:970(_deepcopy)
        8    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:988(format)
       76    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/message.py:1515(more_to_come)
      113    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/hello.py:162(logical_session_timeout_minutes)
      117    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/server.py:359(description)
        8    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:690(format)
      448    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/pool_options.py:456(max_idle_time_seconds)
       78    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/hello.py:181(last_write_date)
       79    0.000    0.000    0.000    0.000 {method 'gettimeout' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/threading.py:999(run)
        3    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/topology_description.py:286(apply_selector)
      156    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/topology_description.py:107(<genexpr>)
      238    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       79    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/pool.py:735(idle_time_seconds)
       39    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/bson/objectid.py:247(__ne__)
       39    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/pool.py:1053(ready)
      159    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/pool.py:1070(closed)
        4    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/mongo_client.py:2109(_process_response)
       76    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/hello.py:138(max_write_batch_size)
      369    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/pool_options.py:438(min_pool_size)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
       39    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/threading.py:1153(_wait_for_tstate_lock)
       87    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       80    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/pool.py:729(update_last_checkin_time)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
      818    0.000    0.000    0.000    0.000 {method '__getitem__' of 'dict' objects}
       80    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/pool.py:773(__hash__)
       83    0.000    0.000    0.000    0.000 {method 'appendleft' of 'collections.deque' objects}
      150    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1790(isEnabledFor)
       37    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/_csot.py:149(add_sample)
        4    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/message.py:1637(as_command)
      212    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/topology_description.py:203(topology_type)
      156    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/topology_description.py:170(has_server)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/concurrent/futures/thread.py:1(<module>)
       37    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/read_preferences.py:608(add_sample)
       40    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      159    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/pool.py:934(get)
       39    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/hello.py:112(tags)
      159    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/pool_options.py:491(_event_listeners)
      156    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/topology_description.py:110(<genexpr>)
        8    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1611(findCaller)
        8    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:622(formatTime)
       58    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/copy.py:118(deepcopy)
      377    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/server_description.py:121(server_type)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
      158    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/pool.py:1381(_raise_if_not_ready)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
        1    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/apscheduler/schedulers/background.py:29(start)
        2    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/message.py:1676(get_message)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/threading.py:973(start)
        1    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/topology.py:422(select_server_by_address)
       40    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/pool.py:724(add_server_api)
       80    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/message.py:1469(__init__)
       39    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/hello.py:154(election_id)
      305    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/server_description.py:169(max_wire_version)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
       39    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/hello.py:206(topology_version)
        5    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/jinja2/environment.py:1526(__init__)
       39    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/hello.py:150(set_version)
       39    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/hello.py:142(min_wire_version)
      120    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/server.py:355(description)
        2    0.000    0.000    0.000    0.000 <template>:51(macro)
        3    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/cursor.py:1053(close)
       37    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/hello.py:218(hello_ok)
       39    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/hello.py:125(replica_set_name)
        2    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/server_selectors.py:35(from_topology_description)
       39    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/hello.py:158(cluster_time)
      273    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/server_description.py:165(min_wire_version)
        4    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/client_session.py:924(_process_response)
        3    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/client_session.py:993(_apply_to)
       80    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        3    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/cursor.py:1033(_die_lock)
        1    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/message.py:1825(get_message)
        4    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/topology.py:647(receive_cluster_time)
      156    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/server_description.py:257(topology_version)
      226    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/hello.py:94(server_type)
      273    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/server_description.py:198(logical_session_timeout_minutes)
        2    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/cursor.py:96(__init__)
       20    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/branca/element.py:237(__init__)
       18    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/folium/utilities.py:328(camelize)
       37    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/hello.py:222(connection_id)
       26    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/bson/objectid.py:242(__eq__)
        2    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/message.py:1799(as_command)
       40    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/pool.py:714(send_cluster_time)
       30    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:200(_is_internal_frame)
        1    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/collection.py:1734(find)
       41    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
      234    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/server_description.py:229(is_writable)
        4    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/branca/utilities.py:376(_parse_size)
      156    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/server_description.py:224(error)
       80    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/pool.py:732(update_is_writable)
        8    0.000    0.000    0.000    0.000 {built-in method time.strftime}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
       79    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/pool_options.py:474(wait_queue_timeout)
        2    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/folium/map.py:194(__init__)
       99    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/bson/timestamp.py:72(time)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/apscheduler/schedulers/base.py:1138(_process_jobs)
       76    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/hello.py:166(is_writable)
       12    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/branca/element.py:307(__init__)
        3    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/client_session.py:984(_materialize)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       39    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/topology_description.py:577(<genexpr>)
        8    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/branca/element.py:282(__init__)
        1    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/xyzservices/lib.py:382(build_url)
        8    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/topology_description.py:236(known_servers)
       37    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/pool.py:594(_raise_if_not_writable)
        3    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/cursor.py:270(__del__)
        3    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        8    0.000    0.000    0.000    0.000 <frozen posixpath>:169(basename)
        1    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/folium/utilities.py:60(validate_location)
       40    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/pool.py:665(validate_session)
       99    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/bson/timestamp.py:77(inc)
        8    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:674(formatMessage)
        8    0.000    0.000    0.000    0.000 <frozen posixpath>:117(splitext)
       39    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/read_preferences.py:618(get)
       19    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/client_session.py:944(in_transaction)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/cachetools/__init__.py:422(__setitem__)
        2    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/topology_description.py:251(common_wire_version)
        2    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/topology.py:754(get_server_session)
        1    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/apscheduler/executors/base.py:36(start)
        8    0.000    0.000    0.000    0.000 {built-in method time.localtime}
        2    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:2149(getLogger)
        3    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/cursor.py:1017(_die_no_lock)
        8    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:462(format)
        3    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/mongo_client.py:1924(_cleanup_cursor_lock)
       65    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/bson/objectid.py:197(binary)
        2    0.000    0.000    0.000    0.000 //venv/lib/python3.12/site-packages/pymongo/synchronous/client_session.py:1128(get_server_session)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
